"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://albaniavisit.com/","text/html; charset=utf-8","200","OK","Indexable","","Visit Albania - Discover Europe's Last Wild Frontier","52","448","","0","0","Visit Albania and discover 'Shqipëria' with local expert advice. Find hotels book tours and plan your perfect adventure. Your ultimate Albania travel guide.","156","936","","0","0","","0","Visit Albania","13","Visit Albania","13","Rent a Car in Albania – Directly From Locals","44","Chapter 6","9","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://albaniavisit.com/","","","","","","858601","104628","104628","40.772","","7822","1210","6.464","56.317","Fairly Hard","7.023","0","0","","2125","1096","0","54.550","406","103","0","11","11","0","","","","","a2b964852d38cdbed6a372972ecd30fe","0.128","Mon, 13 Oct 2025 06:33:51 GMT","","","","en-US","1.1","","","","","","https://albaniavisit.com/","2025-10-13 19:35:53"
"https://albaniavisit.com/travel-guide/entry-visa/","text/html; charset=utf-8","200","OK","Indexable","","Entry & Visa Requirements for Tourists Visiting Albania 2025","60","537","","0","0","This complete guide outlines Albania's visa requirements for all nationalities by region and country in 2025. Quickly see if you need a visa and how to get one.","160","962","","0","0","","0","A Comprehensive Guide for Every Nationality","43","Entry and Visa Requirements","27","Albania Visa Requirements","25","Entry Requirements (All Travelers)","34","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://albaniavisit.com/travel-guide/entry-visa/","","","","","","633402","109560","109560","42.694","","8524","1483","5.748","57.169","Fairly Hard","9.666","1","2","","1641","892","0","44.400","236","97","0","16","15","0","","","","","6651c66a7beba90f34813772a348f9af","0.142","Mon, 13 Oct 2025 06:33:43 GMT","","","","en-US","1.1","","","","","","https://albaniavisit.com/travel-guide/entry-visa/","2025-10-13 19:35:54"
"https://albaniavisit.com/destinations/butrint/","text/html; charset=utf-8","200","OK","Indexable","","Discover Butrint | Visit Albania","32","269","Butrint Quick Info","18","154","Discover what makes Butrint National Park in Albania a must-see from its rich history to local attractions, things to see and do, where to stay and more.","153","931","","0","0","","0","Butrint","7","Discover the Land of The Eagles","31","Listen to this story","20","Where Ancient Prophecy Carved Its Name in Stone","47","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://albaniavisit.com/destinations/butrint/","","","","","","637191","123271","123271","48.037","","9321","1371","6.799","54.496","Fairly Hard","11.166","1","2","","2161","892","0","44.400","155","71","0","16","13","0","","","","","1b9b2938c5c0703387c9ce02e59f842a","0.190","Mon, 13 Oct 2025 06:38:30 GMT","","","","en-US","1.1","","","","","","https://albaniavisit.com/destinations/butrint/","2025-10-13 19:35:54"
"https://albaniavisit.com/destinations/zhulat/","text/html; charset=utf-8","200","OK","Indexable","","Zhulat - Albania's Historic Village of Law and Legend","53","467","","0","0","Explore Zhulat, birthplace of the Kanun of Labëria and home to ancient castle ruins. Discover authentic Albanian village life and centuries of cultural heritage.","161","964","","0","0","","0","Zhulat","6","Discover the Land of The Eagles","31","A Timeless Albanian Village with a Legacy of Law and Legend","59","Where Past Meets Present","24","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://albaniavisit.com/destinations/zhulat/","","","","","","490839","104549","104549","40.741","","6936","998","6.950","56.354","Fairly Hard","10.780","1","2","","506","254","0","12.640","156","74","0","16","16","0","","","","","88718a5f75dae04e18f589cb1a1a5c6d","0.142","Mon, 13 Oct 2025 13:48:49 GMT","","","","en-US","1.1","","","","","","https://albaniavisit.com/destinations/zhulat/","2025-10-13 19:35:54"
"https://albaniavisit.com/travel-guide/albania/","text/html; charset=utf-8","200","OK","Indexable","","Albania Travel Guide - Europe's Authentic Undiscovered Escape","61","562","","0","0","Your Albania travel guide to stunning mountains, pristine beaches, and rich history. Discover authentic experiences and hidden spots. Visit Albania travel guide.","161","978","","0","0","","0","Albania Travel Guide","20","Discover the Land of The Eagles","31","Why Visit Albania?","18","Geography and Regions","21","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://albaniavisit.com/travel-guide/albania/","","","","","","496366","111285","111285","43.366","","10912","1684","6.480","55.487","Fairly Hard","16.368","1","2","","743","372","0","18.520","186","95","0","9","9","0","","","","","cf14781f5798824c4fda5d10819f41f8","0.154","Mon, 13 Oct 2025 08:14:38 GMT","","","","en-US","1.1","","","","","","https://albaniavisit.com/travel-guide/albania/","2025-10-13 19:35:54"
"https://albaniavisit.com/attractions/national-history-museum/","text/html; charset=UTF-8","200","OK","Indexable","","The National History Museum - Albania's History on Display","58","525","","0","0","The National History Museum stands as a pillar of Albania's rich heritage, offering visitors an immersive experience into the nation's past.","140","841","","0","0","","0","The National History Museum","27","Discover the Land of The Eagles","31","Why Visit","9","Exhibits and Collections","24","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://albaniavisit.com/attractions/national-history-museum/","","","","","","482861","106671","106671","41.568","","9818","1384","7.094","53.528","Fairly Hard","15.197","1","2","","244","124","0","6.170","153","78","0","17","17","0","","","","","9f8ff00ea50a3fb8a1ebd014e2ec422e","1.318","Tue, 14 Oct 2025 00:35:55 GMT","","","","en-US","1.1","","","","","","https://albaniavisit.com/attractions/national-history-museum/","2025-10-13 19:35:54"
"https://albaniavisit.com/activities/wine-tasting/","text/html; charset=utf-8","200","OK","Indexable","","Albanian Wine - Discover The Next Big Thing in Viticulture","58","513","","0","0","Discover the rich history and unique flavors of Albanian wine. Explore the country's diverse wine regions and indigenous grape varieties.","137","832","","0","0","","0","Wine Tasting","12","attractions","11","The History of Albanian Wine","28","Agrotourism","11","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://albaniavisit.com/activities/wine-tasting/","","","","","","602723","102490","102490","39.939","","6406","926","6.918","55.758","Fairly Hard","7.929","1","2","","3938","891","0","44.350","241","105","0","6","6","0","","","","","83350d40d92f77c53eb23171e11a16fd","0.926","Tue, 14 Oct 2025 00:30:39 GMT","","","","en-US","1.1","","","","","","https://albaniavisit.com/activities/wine-tasting/","2025-10-13 19:35:54"
"https://albaniavisit.com/travel-guide/currency-lek/","text/html; charset=utf-8","200","OK","Indexable","","A Tourist's Complete Guide to Understanding Albania Currency","60","557","","0","0","Cash still matters in Albania. Learn how the lek works, old vs new lek, ATMs, exchange tips, card use, number formats, and phrases that prevent price confusion.","160","984","","0","0","","0","How to Use the Lek","18","Discover the Land of The Eagles","31","What money Albania uses","23","“Old” lek and “new” lek","23","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://albaniavisit.com/travel-guide/currency-lek/","","","","","","478900","99544","99544","38.791","","6347","947","6.702","61.902","Normal","9.924","1","2","","3364","892","0","44.400","150","73","0","12","12","0","","","","","70da50e71bb8819b7deff59dc2b66c9d","0.099","Mon, 13 Oct 2025 06:47:38 GMT","","","","en-US","1.1","","","","","","https://albaniavisit.com/travel-guide/currency-lek/","2025-10-13 19:35:55"
"https://albaniavisit.com/central-albania","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","890","890","0","44.300","0","0","0","0","0","0","","","","","","1.763","","https://albaniavisit.com/central-albania/","HTTP Redirect","","","1.1","","","","","","https://albaniavisit.com/central-albania","2025-10-13 19:35:54"
"https://albaniavisit.com/destinations/vlora/","text/html; charset=utf-8","200","OK","Indexable","","Vlorë Albania Travel Guide 2025 | Where Two Seas Meet","53","502","","0","0","Discover the top attractions like beaches, nightlife, and historic sites in Vlora, Albania—things to do, where to stay, local cuisine, and planning tips.","153","893","","0","0","","0","Vlorë","5","Discover the Land of The Eagles","31","Where Albania’s Heart Meets Two Seas","36","Why Visit Vlorë","15","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://albaniavisit.com/destinations/vlora/","","","","","","467402","101853","101853","39.690","","7410","1150","6.443","57.388","Fairly Hard","12.098","1","2","","2146","893","0","44.450","163","84","0","9","9","0","","","","","dc50abf0210eeabe680c9be891587f50","0.155","Mon, 13 Oct 2025 07:17:29 GMT","","","","en-US","1.1","","","","","","https://albaniavisit.com/destinations/vlora/","2025-10-13 19:35:55"
