id,object_type,slug,seo_title,seo_description,is_pillar_content,focus_keyword,seo_score,robots,advanced_robots,canonical_url,primary_term,schema_data,social_facebook_thumbnail,social_facebook_title,social_facebook_description,social_twitter_thumbnail,social_twitter_title,social_twitter_description,redirect_to,redirect_type
"19270","post","best-hotels-in-tirana","Best Hotels in Tirana %currentmonth% %currentyear% %sep% %sitename%","Discover the best hotels in Tirana, Albania for %currentmonth% %currentyear% spanning lavish luxury retreats to family-friendly stays. ","no","","31","","","","","","","","","","","","",""
"57729","post","prince-hotel","","","no","","","","","","","","","","","","","","",""
"57736","post","hotel-baron","","","no","","","","","","","","","","","","","","",""
"57743","post","hotel-airport-tirana","","","no","","","","","","","","","","","","","","",""
"57750","post","dinasty-hotel","","","no","","","","","","","","","","","","","","",""
"57757","post","grand-hotel-europa","","","no","","","","","","","","","","","","","","",""
"57764","post","regina-blu","","","no","","","","","","","","","","","","","","",""
"57773","post","rogner-hotel-tirana","","","no","","","","","","","","","","","","","","",""
"57784","post","sky-hotel-tirana","","","no","","","","","","","","","","","","","","",""
"57793","post","mondial-hotel","","","no","","","","","","","","","","","","","","",""
"57804","post","hotel-kalemi","","","no","","","","","","","","","","","","","","",""
"57818","post","mak-albania-hotel","","","no","","","","","","","","","","","","","","",""
"57826","post","boutique-hotel-kotoni","","","no","","","","","","","","","","","","","","",""
"57837","post","hotel-vlora-international","","","no","","","","","","","","","","","","","","",""
"57847","post","iliria-boutique-hotel","","","no","","","","","","","","","","","","","","",""
"57859","post","bel-conti-hotel","","","no","","","","","","","","","","","","","","",""
"57870","post","tirana-international-hotel-conference-center","","","no","","","","","","","","","","","","","","",""
"57884","post","hotel-town-house","","","no","","","","","","","","","","","","","","",""
"57903","post","hotel-colosseo-spa","","","no","","","","","","","","","","","","","","",""
"57919","post","hotel-vila-e-arte-city-center","","","no","","","","","","","","","","","","","","",""
"57934","post","hotel-kompleksi-arifi","","","no","","","","","","","","","","","","","","",""
